"Source2","Min.same","Min.diff","Strain","Isolate","state","SNP.cluster","season"
"environment",2,15,"FDA0973464-S071-006","PDT000206073.2","WI","PDS000000366.504","Spring"
"environment",6,26,"FDA0973464-S076-006","PDT000206074.2","WI","PDS000000366.504","Spring"
"environment",1,24,"FDA0973464-S062-006","PDT000206075.2","WI","PDS000000366.504","Spring"
"environment",1,23,"FDA0973464-S063-006","PDT000206076.2","WI","PDS000000366.504","Spring"
"environment",3,23,"FDA0973464-S090-006","PDT000206077.2","WI","PDS000000366.504","Spring"
"environment",1,22,"FDA0973464-S080-006","PDT000206078.2","WI","PDS000000366.504","Spring"
"environment",1,27,"FDA0973464-S096-006","PDT000206079.2","WI","PDS000000366.504","Spring"
"environment",3,23,"FDA0973464-S099-006","PDT000206080.2","WI","PDS000000366.504","Spring"
"environment",1,31,"FDA0964158-017-001","PDT000206259.2","LA","PDS000025433.69","Spring"
"environment",1,30,"FDA0964158-005-001","PDT000206260.2","LA","PDS000025433.69","Spring"
"environment",2,30,"FDA0964158-004-001","PDT000206261.2","LA","PDS000025433.69","Spring"
"environment",3,35,"FDA0964158-039-001","PDT000206262.2","LA","PDS000025433.69","Spring"
"environment",27,41,"FDA1001491-064-004","PDT000200081.2","VA","PDS000004821.18","Spring"
"environment",0,0,"FDA968223-061-001","PDT000200091.2","CA","PDS000003087.55","Winter"
"environment",0,0,"FDA968223-068-004","PDT000200092.2","CA","PDS000003087.55","Winter"
"environment",0,0,"FDA968223-031-002","PDT000200093.2","CA","PDS000003087.55","Winter"
"environment",0,0,"FDA968223-070-010","PDT000200094.2","CA","PDS000003087.55","Winter"
"environment",0,0,"FDA968223-069-005","PDT000200096.2","CA","PDS000003087.55","Winter"
"environment",0,0,"FDA968223-072-009","PDT000200097.2","CA","PDS000003087.55","Winter"
"environment",0,0,"FDA968223-064-003","PDT000200098.2","CA","PDS000003087.55","Winter"
"environment",0,0,"FDA968223-082-002","PDT000200100.2","CA","PDS000003087.55","Winter"
"environment",1,1,"FDA968223-100-003","PDT000200101.2","CA","PDS000003087.55","Winter"
"fruits",0,16,"FDA866278 C3","PDT000200103.3","CA","PDS000003004.6","Summer"
"fruits",0,16,"FDA866278 S18","PDT000200143.3","CA","PDS000003004.6","Summer"
"fruits",0,29,"FDA863766 S12","PDT000200144.3","AZ","PDS000000258.15","Summer"
"environment",3,27,"FDA993605-080-004","PDT000206058.2","FL","PDS000043050.8","Spring"
"environment",5,27,"FDA993605-099-003","PDT000206062.2","FL","PDS000024647.66","Spring"
"environment",1,24,"FDA973463-S052-001","PDT000206066.2","WI","PDS000000366.504","Spring"
"environment",3,23,"FDA973463-S058-001","PDT000206067.2","WI","PDS000000366.504","Spring"
"environment",2,22,"FDA973463-S059-001","PDT000206068.2","WI","PDS000000366.504","Spring"
"environment",4,23,"FDA973463-S050-001","PDT000206069.2","WI","PDS000000366.504","Spring"
"environment",8,36,"TX-ACF1702671","PDT000276317.2","TX","PDS000024767.24","Winter"
"dairy",4,9,"DFPST0071","PDT000276337.2","Other","PDS000000384.70","Winter"
"dairy",4,13,"DFPST0070","PDT000276497.2","Other","PDS000000384.70","Winter"
"dairy",0,31,"CFSAN071356","PDT000276512.2","NY","PDS000025453.29","Winter"
"environment",1,1,"NY83364056","PDT000276896.2","NY","PDS000025418.6","Winter"
"environment",1,8,"FDA1021244-S018-001","PDT000276947.2","Other","PDS000000366.504","Winter"
"environment",0,8,"FDA1021244-S031-001","PDT000276948.2","Other","PDS000000366.504","Winter"
"environment",0,7,"FDA1021244-S015-001","PDT000276954.2","Other","PDS000000366.504","Winter"
"environment",19,20,"FDA1021244-S029-001","PDT000276980.2","Other","PDS000003204.124","Winter"
"environment",0,7,"FDA1021244-S016-001","PDT000276981.2","Other","PDS000000366.504","Winter"
"environment",0,8,"FDA1021244-S032-001","PDT000276982.2","Other","PDS000000366.504","Winter"
"environment",3,6,"FDA1021244-S041-001","PDT000276983.2","Other","PDS000000366.504","Winter"
"environment",0,7,"FDA1021244-S001-001","PDT000276984.2","Other","PDS000000366.504","Winter"
"sea_food",0,16,"FDA62000","PDT000278501.2","OR","PDS000025025.1","Summer"
"environment",4,39,"FDA551443-114","PDT000278670.2","NM","PDS000083553.8","Winter"
"environment",0,7,"FDA1030674-S053-002","PDT000278674.2","NE","PDS000025513.38","Winter"
"environment",0,7,"FDA1030674-S053-001","PDT000278676.2","NE","PDS000025513.38","Winter"
"environment",4,33,"FDA1012915-059-001","PDT000285025.2","PA","PDS000025113.12","Winter"
"environment",4,35,"FDA1012915-058-001","PDT000285027.2","PA","PDS000025113.12","Winter"
"environment",0,32,"CDPHFDLB-FM17-00158","PDT000285289.1","CA","PDS000024349.25","Fall"
"environment",0,32,"CDPHFDLB-FM17-00159","PDT000285290.1","CA","PDS000024349.25","Fall"
"environment",0,21,"CDPHFDLB-FM17-00126","PDT000285293.1","CA","PDS000024856.163","Fall"
"environment",1,21,"CDPHFDLB-FM17-00120","PDT000285296.1","CA","PDS000024349.25","Fall"
"environment",1,30,"CDPHFDLB-FM17-00118","PDT000285297.1","CA","PDS000024349.25","Fall"
"environment",1,22,"CDPHFDLB-FM17-00114","PDT000285298.1","CA","PDS000024856.163","Fall"
"environment",2,23,"CDPHFDLB-FM17-00090","PDT000285300.1","CA","PDS000024856.163","Fall"
"environment",0,8,"CDPHFDLB-F1603037-20a","PDT000285304.1","CA","PDS000000366.504","Spring"
"environment",1,9,"CDPHFDLB-F15M02768","PDT000285305.1","CA","PDS000000366.504","Fall"
"environment",0,8,"CDPHFDLB-F15M02749","PDT000285306.1","CA","PDS000000366.504","Fall"
"environment",1,15,"CDPHFDLB-F15M00075-1","PDT000285307.1","CA","PDS000017980.5","Winter"
"environment",3,26,"CDPHFDLB-FM17-00115","PDT000285309.1","CA","PDS000024856.163","Fall"
"environment",2,32,"CDPHFDLB-FM17-00092","PDT000285311.1","CA","PDS000024349.25","Fall"
"environment",1,9,"CDPHFDLB-F15M02766","PDT000285314.1","CA","PDS000000366.504","Fall"
"environment",1,9,"CDPHFDLB-F15M02769","PDT000285315.1","CA","PDS000000366.504","Fall"
"environment",8,34,"FDA877748-021-001","PDT000285356.2","CA","PDS000024989.120","Spring"
"environment",4,26,"FDA676031 52-10","PDT000286172.2","CA","PDS000000366.504","Fall"
"environment",4,27,"FDA676031 56-4","PDT000286175.2","CA","PDS000000366.504","Fall"
"environment",12,34,"FDA1035902-026-001","PDT000287401.2","CA","PDS000025433.69","Winter"
"environment",1,2,"FDA676031 97-1","PDT000287406.2","CA","PDS000025049.2","Fall"
"environment",0,22,"FDA676031 108-2","PDT000287409.2","CA","PDS000000366.504","Fall"
"environment",4,28,"FDA676030 6-7","PDT000287411.2","CA","PDS000000366.504","Fall"
"environment",14,44,"FDA1035902-027-002","PDT000287686.2","CA","PDS000025433.69","Winter"
"environment",2,25,"FDA676031 101-2","PDT000287687.2","CA","PDS000000366.504","Fall"
"environment",0,22,"FDA676031 68-1","PDT000287690.2","CA","PDS000000366.504","Fall"
"environment",3,23,"FDA676031 106-2","PDT000287691.2","CA","PDS000000366.504","Fall"
"environment",3,27,"FDA676031 105-5","PDT000287696.2","CA","PDS000000366.504","Fall"
"sea_food",1,1,"12B03992A-1","PDT000287812.3","NY","PDS000003073.39","Spring"
"vegetables",0,0,"12B04255A-1","PDT000287814.2","NY","PDS000003073.39","Spring"
"dairy",2,2,"12B05825A-1","PDT000287815.2","NY","PDS000024625.12","Summer"
"dairy",0,34,"CFSAN075787","PDT000289636.2","IL","PDS000024989.120","Winter"
"dairy",1,35,"CFSAN075789","PDT000289639.2","IL","PDS000024989.120","Winter"
"dairy",1,35,"CFSAN075786","PDT000289641.2","IL","PDS000024989.120","Winter"
"other",32,22,"FDA201316","PDT000289643.2","WA","PDS000024657.64","Spring"
"dairy",0,35,"CFSAN075788","PDT000289650.2","IL","PDS000024989.120","Winter"
"dairy",0,35,"CFSAN075794","PDT000289680.2","IL","PDS000024989.120","Winter"
"dairy",0,34,"CFSAN075793","PDT000289681.2","IL","PDS000024989.120","Winter"
"dairy",1,35,"CFSAN075790","PDT000289682.2","IL","PDS000024989.120","Winter"
"dairy",1,35,"CFSAN075791","PDT000289684.2","IL","PDS000024989.120","Winter"
"dairy",0,34,"CFSAN075792","PDT000289685.2","IL","PDS000024989.120","Winter"
"dairy",1,35,"CFSAN075796","PDT000289688.2","IL","PDS000024989.120","Winter"
"sea_food",0,37,"CFSAN075797","PDT000289689.2","FL","PDS000006279.30","Fall"
"dairy",1,35,"CFSAN075785","PDT000289691.2","IL","PDS000024989.120","Winter"
"dairy",0,34,"CFSAN075795","PDT000289694.2","IL","PDS000024989.120","Winter"
"environment",1,1,"NY84539247","PDT000289718.2","NY","PDS000025418.6","Winter"
"environment",0,2,"NY84538989","PDT000289720.2","NY","PDS000025418.6","Winter"
"environment",0,0,"NY84538526","PDT000289722.2","NY","PDS000025418.6","Winter"
"environment",13,26,"NC_0214919_12_1","PDT000289765.2","NC","PDS000025414.1","Winter"
"environment",14,27,"NC_0210711_55_2","PDT000289786.2","NC","PDS000025414.1","Winter"
"environment",0,10,"NC_0210711_6_1","PDT000289787.2","NC","PDS000025414.1","Winter"
"environment",2,2,"NY84538642","PDT000289788.2","NY","PDS000025418.6","Winter"
"environment",0,10,"NC_0210711_6_2","PDT000289789.2","NC","PDS000025414.1","Winter"
"environment",0,2,"NY84538167","PDT000289790.2","NY","PDS000025418.6","Winter"
"environment",12,30,"NC_0210710_41_2","PDT000289799.2","NC","PDS000025414.1","Winter"
"environment",0,22,"NC_0214919_125_2","PDT000289800.2","NC","PDS000025414.1","Winter"
"environment",8,26,"NC_0214919_125_1","PDT000289801.2","NC","PDS000025414.1","Winter"
"environment",13,21,"NC_0210710_6_1","PDT000289802.2","NC","PDS000025414.1","Winter"
"environment",0,22,"NC_0214919_125_4","PDT000289806.2","NC","PDS000025414.1","Winter"
"environment",0,0,"NY84538847","PDT000289849.2","NY","PDS000025418.6","Winter"
"environment",0,0,"NY84536488","PDT000289850.2","NY","PDS000025418.6","Winter"
"environment",8,26,"NC_0214919_1_1","PDT000289854.2","NC","PDS000025414.1","Winter"
"environment",0,0,"NY84539134","PDT000289856.2","NY","PDS000025418.6","Winter"
"sea_food",1,18,"NYVetLIRN-55","PDT000291144.3","NY","PDS000006279.30","Winter"
"environment",0,15,"FLAG-34667","PDT000291170.2","FL","PDS000024349.25","Fall"
"environment",27,15,"FDA680736 31-RLM A","PDT000291180.2","CA","PDS000024659.22","Winter"
"environment",3,23,"FDA680736 42-RLM A","PDT000291182.2","CA","PDS000024989.120","Winter"
"environment",1,15,"FDA1036611-023-001","PDT000291190.2","GA","PDS000000366.504","Winter"
"environment",1,14,"FDA1036611-004-001","PDT000291192.2","GA","PDS000000366.504","Winter"
"environment",2,16,"FDA1036611-002-001","PDT000291193.2","GA","PDS000000366.504","Winter"
"sea_food",27,24,"NYVetLIRN-57","PDT000291196.3","NY","PDS000041947.105","Winter"
"environment",0,16,"FLAG-34706","PDT000280691.2","FL","PDS000024349.25","Fall"
"environment",0,15,"FLAG-34697","PDT000280746.2","FL","PDS000024349.25","Fall"
"environment",1,19,"FLAG-34708","PDT000280763.2","FL","PDS000024349.25","Fall"
"environment",0,15,"FLAG-34695","PDT000280778.2","FL","PDS000024349.25","Fall"
"environment",0,15,"FLAG-34690","PDT000280779.2","FL","PDS000024349.25","Fall"
"environment",0,16,"FLAG-34661","PDT000280781.2","FL","PDS000024349.25","Fall"
"environment",0,16,"FLAG-34693","PDT000280790.2","FL","PDS000024349.25","Fall"
"environment",1,16,"FLAG-34685","PDT000280876.2","FL","PDS000024349.25","Fall"
"environment",11,16,"FLAG-34680","PDT000280883.2","FL","PDS000024856.163","Fall"
"environment",7,17,"FLAG-34686","PDT000280972.2","FL","PDS000025155.1","Fall"
"environment",10,11,"FLAG-34691","PDT000280988.2","FL","PDS000024856.163","Fall"
"environment",7,12,"FLAG-34687","PDT000281040.2","FL","PDS000025155.1","Fall"
"environment",0,15,"FLAG-34681","PDT000281374.2","FL","PDS000024349.25","Fall"
"environment",2,24,"FDA676031 61-4","PDT000281501.2","CA","PDS000000366.504","Fall"
"environment",2,26,"FDA676031 66-4","PDT000281502.2","CA","PDS000000366.504","Fall"
"fruits",0,12,"FDA1017657-001-001","PDT000281504.2","CA","PDS000000318.69","Fall"
"other",5,16,"C2017014896","PDT000282515.2","MN","PDS000038088.5","Summer"
"other",9,12,"C2017014895","PDT000282532.2","MN","PDS000038088.5","Summer"
"environment",18,20,"IA-608894","PDT000283213.3","IA","PDS000000366.504","Winter"
"environment",1,1,"IA-581376","PDT000283214.3","IA","PDS000003255.56","Fall"
"environment",11,11,"IA-608893","PDT000283215.3","IA","PDS000003204.124","Winter"
"environment",0,14,"FDA1036487-S015-006","PDT000283873.2","CA","PDS000000366.504","Winter"
"environment",3,13,"FDA1036487-S030-006","PDT000283876.2","CA","PDS000000366.504","Winter"
"environment",0,14,"FDA1036487-S013-006","PDT000283880.2","CA","PDS000000366.504","Winter"
"environment",3,11,"FDA1036487-S031-006","PDT000283882.2","CA","PDS000000366.504","Winter"
"dairy",2,36,"CFSAN075780","PDT000288182.2","IL","PDS000024989.120","Winter"
"dairy",2,36,"CFSAN075783","PDT000288183.6","IL","PDS000024989.120","Winter"
"dairy",0,34,"CFSAN075781","PDT000288184.2","IL","PDS000024989.120","Winter"
"environment",4,41,"FDA551443-60","PDT000275406.2","NM","PDS000083553.8","Winter"
"sea_food",1,1,"12B10440A-1","PDT000287816.2","NY","PDS000025311.254","Fall"
"sea_food",4,7,"13B02883A-1","PDT000287820.2","NY","PDS000032941.140","Spring"
"sea_food",4,7,"13B02662A-1","PDT000287821.2","NY","PDS000032941.140","Spring"
"environment",12,36,"FDA1035902-029-008","PDT000287833.2","CA","PDS000025433.69","Winter"
"dairy",1,35,"CFSAN075782","PDT000288150.2","IL","PDS000024989.120","Winter"
"dairy",1,35,"CFSAN075778","PDT000288151.2","PA","PDS000024989.120","Winter"
"dairy",1,35,"CFSAN075779","PDT000288152.2","IL","PDS000024989.120","Winter"
"sea_food",18,3,"NYVetLIRN-59","PDT000291194.3","NY","PDS000024656.185","Winter"
"environment",2,28,"FDA1037520-048-001","PDT000291195.2","IL","PDS000024900.119","Winter"
"environment",6,57,"FDA907463-74","PDT000067239.2","GA","PDS000024767.24","Spring"
"environment",4,31,"FDA907463-75","PDT000067240.2","GA","PDS000024900.119","Spring"
"environment",19,20,"FDA903744-39","PDT000067883.3","CA","PDS000000366.504","Summer"
"environment",0,29,"FDA860489 20-5","PDT000067887.6","CA","PDS000024989.120","Summer"
"environment",0,29,"FDA860489 20-2","PDT000067891.5","CA","PDS000024989.120","Summer"
"environment",7,34,"FDA624067 34-1","PDT000067892.6","CA","PDS000024989.120","Summer"
"environment",23,29,"FDA752369 72-4","PDT000067896.9","CA","PDS000066003.4","Summer"
"environment",1,17,"FDA797901-34","PDT000068600.2","NY","PDS000025433.69","Spring"
"environment",1,15,"FDA797901-89","PDT000068602.2","NY","PDS000025433.69","Spring"
"dairy",1,3,"CFSAN034252","PDT000068603.2","TX","PDS000025233.7","Spring"
"dairy",1,4,"CFSAN034241","PDT000068605.2","TX","PDS000025233.7","Spring"
"environment",1,3,"FDA797901-71","PDT000068613.2","NY","PDS000024856.163","Spring"
"dairy",0,0,"CFSAN034233","PDT000068614.2","TX","PDS000025233.7","Spring"
"dairy",12,21,"CFSAN034244","PDT000068628.2","TX","PDS000025233.7","Spring"
"environment",0,19,"FDA797901-104","PDT000068635.2","NY","PDS000025433.69","Spring"
"dairy",0,3,"CFSAN034240","PDT000068636.2","TX","PDS000025233.7","Spring"
"dairy",1,2,"CFSAN034235","PDT000068639.2","TX","PDS000025233.7","Spring"
"dairy",0,3,"CFSAN034239","PDT000068640.2","TX","PDS000025233.7","Spring"
"dairy",0,3,"CFSAN034242","PDT000068641.2","TX","PDS000025233.7","Spring"
"dairy",4,8,"CFSAN034243","PDT000068642.2","TX","PDS000025233.7","Spring"
"dairy",1,9,"CFSAN034253","PDT000068643.2","TX","PDS000025233.7","Spring"
"environment",1,16,"FDA797901-35","PDT000068648.2","NY","PDS000025433.69","Spring"
"environment",0,2,"FDA797901-88","PDT000068651.2","NY","PDS000024856.163","Spring"
"dairy",3,6,"CFSAN034236","PDT000068652.2","TX","PDS000025233.7","Spring"
"dairy",1,4,"CFSAN034246","PDT000068653.2","TX","PDS000025233.7","Spring"
"dairy",1,4,"CFSAN034247","PDT000068654.2","TX","PDS000025233.7","Spring"
"environment",1,5,"FDA797901-94","PDT000068657.2","NY","PDS000024856.163","Spring"
"environment",0,19,"FDA797901-103","PDT000068659.2","NY","PDS000025433.69","Spring"
"dairy",3,12,"CFSAN034237","PDT000068660.2","TX","PDS000025233.7","Spring"
"environment",0,9,"FDA797901-93","PDT000068662.2","NY","PDS000024856.163","Spring"
"dairy",1,4,"CFSAN034245","PDT000068663.2","TX","PDS000025233.7","Spring"
"dairy",0,2,"CFSAN034251","PDT000068667.2","TX","PDS000025233.7","Spring"
"dairy",1,3,"CFSAN034249","PDT000068670.2","TX","PDS000025233.7","Spring"
"dairy",0,1,"CFSAN034250","PDT000068671.2","TX","PDS000025233.7","Spring"
"dairy",0,1,"CFSAN034254","PDT000068672.2","TX","PDS000025233.7","Spring"
"environment",5,24,"FDA797901-25","PDT000068676.2","NY","PDS000025433.69","Spring"
"dairy",0,0,"CFSAN034238","PDT000068677.2","TX","PDS000025233.7","Spring"
"dairy",9,12,"CFSAN034248","PDT000068679.2","TX","PDS000025233.7","Spring"
"vegetables",0,0,"VA-WGS-00439","PDT000068708.2","VA","PDS000024822.2","Summer"
"vegetables",3,3,"VA-WGS-00438","PDT000068716.2","VA","PDS000024822.2","Summer"
"sea_food",4,32,"AK1035500078","PDT000068720.3","AK","PDS000003258.69","Winter"
"dairy",1,2,"CFSAN034270","PDT000068727.2","TX","PDS000025233.7","Spring"
"dairy",8,13,"CFSAN034256","PDT000068732.2","TX","PDS000025233.7","Spring"
"dairy",0,2,"CFSAN034257","PDT000068733.2","TX","PDS000025233.7","Spring"
"dairy",0,4,"CFSAN034262","PDT000068734.2","TX","PDS000025233.7","Spring"
"dairy",4,7,"CFSAN034264","PDT000068740.2","TX","PDS000025233.7","Spring"
"dairy",0,4,"CFSAN034265","PDT000068741.2","TX","PDS000025233.7","Spring"
"dairy",0,1,"CFSAN034266","PDT000068742.2","TX","PDS000025233.7","Spring"
"dairy",0,3,"CFSAN034260","PDT000068747.2","TX","PDS000025233.7","Spring"
"dairy",2,7,"CFSAN034263","PDT000068756.2","TX","PDS000025233.7","Spring"
"dairy",1,6,"CFSAN034272","PDT000068757.2","TX","PDS000025233.7","Spring"
"dairy",4,8,"CFSAN034258","PDT000068761.2","TX","PDS000025233.7","Spring"
"dairy",4,13,"CFSAN034273","PDT000068764.2","TX","PDS000025233.7","Spring"
"dairy",2,11,"CFSAN034267","PDT000068769.2","TX","PDS000025233.7","Spring"
"dairy",1,7,"CFSAN034255","PDT000068770.2","TX","PDS000025233.7","Spring"
"environment",6,53,"FDA907463-92","PDT000069030.2","GA","PDS000024767.24","Spring"
"environment",0,4,"FDA864640-6","PDT000065260.2","CA","PDS000000366.504","Winter"
"environment",0,2,"FDA864640-15-3","PDT000065263.2","CA","PDS000000366.504","Winter"
"environment",1,2,"FDA864640-19","PDT000065264.2","CA","PDS000000366.504","Winter"
"environment",1,31,"FDAFSW-839650-7-1","PDT000065265.2","CA","PDS000024989.120","Spring"
"environment",0,2,"FDA864640-21","PDT000065266.2","CA","PDS000000366.504","Winter"
"environment",0,2,"FDA864640-27","PDT000065267.2","CA","PDS000000366.504","Winter"
"environment",0,2,"FDA864640-32","PDT000065268.2","CA","PDS000000366.504","Winter"
"environment",3,7,"FDA864640-34","PDT000065269.2","CA","PDS000000366.504","Winter"
"environment",1,2,"FDA864640-22","PDT000065271.2","CA","PDS000000366.504","Winter"
"environment",0,2,"FDA864640-24","PDT000065272.2","CA","PDS000000366.504","Winter"
"environment",0,4,"FDA864640-25","PDT000065273.2","CA","PDS000000366.504","Winter"
"vegetables",0,0,"VA-WGS-00437","PDT000065290.2","VA","PDS000024822.2","Spring"
"dairy",0,7,"CFSAN033568","PDT000066316.2","TX","PDS000025233.7","Spring"
"dairy",0,0,"CFSAN033572","PDT000066317.2","TX","PDS000025233.7","Spring"
"dairy",0,0,"CFSAN033580","PDT000066318.2","TX","PDS000025233.7","Spring"
"environment",21,41,"TX-AML1501157","PDT000066323.2","TX","PDS000024812.15","Spring"
"dairy",0,1,"CFSAN033571","PDT000066324.2","TX","PDS000025233.7","Spring"
"dairy",1,9,"CFSAN033574","PDT000066326.2","TX","PDS000025233.7","Spring"
"meat",0,28,"AK1216500192-2","PDT000066330.3","AK","PDS000000217.19","Summer"
"dairy",0,1,"CFSAN033587","PDT000066332.2","TX","PDS000025233.7","Spring"
"dairy",0,2,"CFSAN033581","PDT000066335.2","TX","PDS000025233.7","Spring"
"dairy",0,4,"CFSAN033570","PDT000066341.2","TX","PDS000025233.7","Spring"
"dairy",0,1,"CFSAN033579","PDT000066342.2","TX","PDS000025233.7","Spring"
"dairy",0,3,"CFSAN033565","PDT000066344.2","TX","PDS000025233.7","Spring"
"dairy",0,4,"CFSAN033578","PDT000066351.2","TX","PDS000025233.7","Spring"
"dairy",0,2,"CFSAN033563","PDT000066353.2","TX","PDS000025233.7","Spring"
"dairy",0,3,"CFSAN033586","PDT000066355.2","TX","PDS000025233.7","Spring"
"dairy",0,8,"CFSAN033584","PDT000066360.2","TX","PDS000025233.7","Spring"
"dairy",2,3,"CFSAN033567","PDT000066370.2","TX","PDS000025233.7","Spring"
"dairy",0,4,"CFSAN033569","PDT000066371.2","TX","PDS000025233.7","Spring"
"dairy",1,4,"CFSAN033562","PDT000066377.2","TX","PDS000025233.7","Spring"
"dairy",0,1,"CFSAN033585","PDT000066378.2","TX","PDS000025233.7","Spring"
"dairy",2,5,"CFSAN033583","PDT000066379.2","TX","PDS000025233.7","Spring"
"dairy",0,7,"CFSAN033575","PDT000066382.2","TX","PDS000025233.7","Spring"
"environment",8,15,"CFSAN033197","PDT000066387.2","WI","PDS000024989.120","Spring"
"dairy",1,9,"CFSAN033582","PDT000066388.2","TX","PDS000025233.7","Spring"
"dairy",2,5,"CFSAN033564","PDT000066391.2","TX","PDS000025233.7","Spring"
"dairy",0,3,"CFSAN033566","PDT000066393.2","TX","PDS000025233.7","Spring"
"dairy",0,3,"CFSAN033573","PDT000066394.2","TX","PDS000025233.7","Spring"
"dairy",1,9,"CFSAN033576","PDT000066395.2","TX","PDS000025233.7","Spring"
"dairy",0,1,"CFSAN033577","PDT000066396.2","TX","PDS000025233.7","Spring"
"environment",14,28,"FDA884206 72-1","PDT000066964.2","IL","PDS000024810.2","Spring"
"environment",16,30,"FDA884206 89-1","PDT000066967.2","IL","PDS000025433.69","Spring"
"environment",2,18,"FDA884206 126-6","PDT000066973.2","IL","PDS000024810.2","Spring"
"environment",2,20,"FDA884206 32-1","PDT000066976.2","IL","PDS000024810.2","Spring"
"environment",24,25,"FDA884206 149-6","PDT000066977.2","IL","PDS000024349.25","Spring"
"dairy",7,7,"WAPHL-LIS-A00038","PDT000065156.2","WA","PDS000000270.29","Spring"
"environment",0,4,"FDA864640-26","PDT000065250.2","CA","PDS000000366.504","Winter"
"environment",1,2,"FDA864640-16","PDT000065251.2","CA","PDS000000366.504","Winter"
"environment",1,1,"FDA864640-20","PDT000065252.2","CA","PDS000000366.504","Winter"
"environment",0,2,"FDA864640-23","PDT000065253.2","CA","PDS000000366.504","Winter"
"environment",2,3,"FDA864640-37","PDT000065254.2","CA","PDS000000366.504","Winter"
"environment",9,15,"FDA864640-54","PDT000065255.2","CA","PDS000000366.504","Winter"
"dairy",0,3,"CFSAN034261","PDT000068748.2","TX","PDS000025233.7","Spring"
"dairy",0,3,"CFSAN034269","PDT000068749.2","TX","PDS000025233.7","Spring"
"dairy",1,8,"CFSAN034271","PDT000068750.2","TX","PDS000025233.7","Spring"
"dairy",12,12,"CFSAN034259","PDT000068762.2","TX","PDS000025233.7","Spring"
"dairy",0,3,"CFSAN034268","PDT000068763.2","TX","PDS000025233.7","Spring"
"environment",4,7,"FDA317850-4","PDT000096814.2","CA","PDS000000366.504","Summer"
"environment",7,10,"FDA317850-8b","PDT000096815.2","CA","PDS000000366.504","Summer"
"environment",0,11,"FDA933001-170-16","PDT000097305.2","WA","PDS000000366.504","Fall"
"environment",2,3,"TX-ACF1301729","PDT000137007.2","TX","PDS000024989.120","Winter"
"environment",0,45,"TX-ACF1301736","PDT000137008.2","TX","PDS000024767.24","Winter"
"environment",0,45,"TX-ACF1301744","PDT000137009.2","TX","PDS000024767.24","Winter"
"environment",2,3,"TX-ACF1301745","PDT000137010.2","TX","PDS000024989.120","Winter"
"environment",2,5,"TX-ACF1301756","PDT000137011.2","TX","PDS000024989.120","Winter"
"sea_food",14,15,"FDA226282","PDT000137012.2","OR","PDS000000366.504","Summer"
"environment",7,30,"FDA226283-1","PDT000137013.2","OR","PDS000000366.504","Summer"
"environment",6,14,"FDA226283-6","PDT000137014.2","OR","PDS000025466.69","Summer"
"other",6,32,"AK1514900060","PDT000137022.2","AK","PDS000024578.1","Spring"
"environment",13,38,"FDA226283-9","PDT000137024.2","OR","PDS000000366.504","Summer"
"environment",10,30,"FDA226283-14","PDT000137026.2","OR","PDS000000366.504","Summer"
"other",2,2,"FDA771939 1-1","PDT000137276.2","CA","PDS000024823.25","Fall"
"other",0,0,"FDA771939 1-3","PDT000137277.2","CA","PDS000024823.25","Fall"
"poultry",0,0,"C2006001888","PDT000137413.2","MN","PDS000000366.504","Spring"
"other",20,34,"C2006004114","PDT000137415.2","MN","PDS000024989.120","Winter"
"sea_food",0,9,"C2008001652","PDT000137417.2","MN","PDS000024989.120","Summer"
"meat",19,20,"C2009033265","PDT000137418.2","MN","PDS000025037.42","Fall"
"poultry",0,32,"C2009038028","PDT000137420.2","MN","PDS000024989.120","Fall"
"poultry",0,32,"C2009044548","PDT000137421.2","MN","PDS000024989.120","Fall"
"poultry",8,9,"C2005002770","PDT000137462.2","MN","PDS000024989.120","Summer"
"environment",0,1,"C2005003367","PDT000137463.2","MN","PDS000000366.504","Summer"
"environment",18,19,"C2005003464","PDT000137464.2","MN","PDS000000366.504","Summer"
"environment",1,18,"FDA861107-40","PDT000137469.2","NY","PDS000025433.69","Summer"
"environment",4,13,"FDA861107-000-063","PDT000137470.2","NY","PDS000024856.163","Summer"
"environment",0,2,"FDA861107-000-064","PDT000137471.2","NY","PDS000024856.163","Summer"
"other",0,2,"TX-AML1400822","PDT000137972.2","TX","PDS000003363.31","Winter"
"environment",10,33,"FDA858472-62-3","PDT000138047.2","GA","PDS000024900.119","Summer"
"other",3,10,"CFSAN051096","PDT000133343.2","MI","PDS000024934.85","Spring"
"other",6,14,"CFSAN051097","PDT000133344.2","MI","PDS000024934.85","Spring"
"other",9,16,"CFSAN051098","PDT000133345.2","MI","PDS000024934.85","Spring"
"other",8,17,"CFSAN051099","PDT000133346.2","MI","PDS000024934.85","Spring"
"other",0,7,"CFSAN051100","PDT000133347.2","MI","PDS000024934.85","Spring"
"other",3,10,"CFSAN051101","PDT000133348.2","MI","PDS000024934.85","Spring"
"leafy_greens",17,32,"C2001001785","PDT000133527.2","MN","PDS000083553.8","Summer"
"environment",17,41,"TX-ACF1300406","PDT000133604.2","TX","PDS000024767.24","Winter"
"environment",0,29,"TX-ACF1300531","PDT000133605.2","TX","PDS000024767.24","Winter"
"environment",0,29,"TX-ACF1300589","PDT000133606.2","TX","PDS000024767.24","Winter"
"other",4,17,"FLAG-15716","PDT000133669.2","FL","PDS000025433.69","Winter"
