"Source","Min.same","Min.diff","Location","Strain","Isolate","state"
"dairy",0,0,"USA","CFSAN049397","PDT000129458.2","WA"
"dairy",1,1,"USA","CFSAN049398","PDT000129459.2","WA"
"dairy",0,0,"USA","CFSAN049399","PDT000129460.2","WA"
"dairy",0,0,"USA","CFSAN049400","PDT000129461.2","WA"
"dairy",0,0,"USA","CFSAN049401","PDT000129462.2","WA"
"dairy",1,1,"USA","CFSAN049402","PDT000129463.2","WA"
"dairy",0,0,"USA","CFSAN049403","PDT000129464.2","WA"
"dairy",0,0,"USA","CFSAN049404","PDT000129465.2","WA"
"beef",1,27,"USA","CFSAN049121","PDT000129526.2","CA"
"beef",2,30,"USA","CFSAN049122","PDT000129527.2","CA"
"beef",1,29,"USA","CFSAN049124","PDT000129529.2","CA"
"beef",1,30,"USA","CFSAN049125","PDT000129530.2","CA"
"beef",1,29,"USA","CFSAN049128","PDT000129533.2","CA"
"dairy",6,30,"USA","ARS-CC9314","PDT000130406.2","NY"
"dairy",28,25,"USA","ARS-CC9318","PDT000130410.2","ID"
"beef",1,27,"USA","CFSAN049037","PDT000128508.2","CA"
"beef",0,26,"USA","CFSAN049038","PDT000128509.2","CA"
"beef",1,27,"USA","CFSAN049039","PDT000128510.2","CA"
"pork",0,33,"USA","CFSAN022990","PDT000205251.1","IL"
"dairy",1,16,"USA","FDA358036","PDT000197898.2","NY"
"avocado",0,14,"USA","FDA802499 S10-1","PDT000197902.2","CA"
"dairy",0,19,"USA","09B00813A-1","PDT000198005.2","NY"
"avocado",0,13,"USA","FLAG-846140_S20","PDT000198341.2","CO"
"avocado",1,1,"USA","FLAG-773872_C4","PDT000198342.2","CO"
"avocado",0,13,"USA","FLAG-846140_S17","PDT000198343.2","CO"
"fish",5,24,"USA","FDA232494-7","PDT000198968.2","WA"
"avocado",0,40,"USA","FLAG-871250_S24","PDT000199121.2","CA"
"avocado",15,13,"USA","FLAG-869296_S37","PDT000199124.2","CA"
"avocado",15,13,"USA","FLAG-869296_S32","PDT000199125.2","CA"
"avocado",0,4,"USA","FLAG-872942-S18","PDT000199128.2","TX"
"avocado",0,4,"USA","FLAG-872942-C4","PDT000199130.2","TX"
"beef",14,16,"USA","09FMFO000863","PDT000199152.3","MI"
"dairy",3,3,"USA","09FMFO000138","PDT000199154.3","MI"
"dairy",1,0,"USA","09FMFO000137","PDT000199155.3","MI"
"dairy",2,2,"USA","09FMFO000055","PDT000199157.3","MI"
"avocado",0,4,"USA","FDA861279-C","PDT000200147.3","TX"
"avocado",21,34,"USA","FDA863766 S15","PDT000200148.3","AZ"
"avocado",0,29,"USA","FDA863766 S17","PDT000200149.3","AZ"
"avocado",0,16,"USA","FDA866278 S13","PDT000200150.3","CA"
"avocado",0,23,"USA","FDA868396 S18","PDT000200353.2","UT"
"avocado",0,23,"USA","FDA868396 C4","PDT000200354.2","UT"
"avocado",0,25,"USA","FDA861559 S15","PDT000200355.2","CO"
"avocado",0,24,"USA","FDA861559 C3","PDT000200356.2","CO"
"pork",1,26,"USA","CFSAN061702","PDT000201089.2","FL"
"avocado",0,16,"USA","FDA866278 C3","PDT000200103.3","CA"
"avocado",0,16,"USA","FDA866278 S18","PDT000200143.3","CA"
"avocado",0,29,"USA","FDA863766 S12","PDT000200144.3","AZ"
"dairy",4,9,"USA","DFPST0071","PDT000276337.2","USA"
"dairy",4,13,"USA","DFPST0070","PDT000276497.2","USA"
"dairy",0,31,"USA","CFSAN071356","PDT000276512.2","NY"
"fish",1,1,"USA","12B03992A-1","PDT000287812.3","NY"
"dairy",2,2,"USA","12B05825A-1","PDT000287815.2","NY"
"dairy",0,34,"USA","CFSAN075787","PDT000289636.2","IL"
"dairy",1,35,"USA","CFSAN075789","PDT000289639.2","IL"
"dairy",1,35,"USA","CFSAN075786","PDT000289641.2","IL"
"dairy",0,35,"USA","CFSAN075788","PDT000289650.2","IL"
"dairy",0,35,"USA","CFSAN075794","PDT000289680.2","IL"
"dairy",0,34,"USA","CFSAN075793","PDT000289681.2","IL"
"dairy",1,35,"USA","CFSAN075790","PDT000289682.2","IL"
"dairy",1,35,"USA","CFSAN075791","PDT000289684.2","IL"
"dairy",0,34,"USA","CFSAN075792","PDT000289685.2","IL"
"dairy",1,35,"USA","CFSAN075796","PDT000289688.2","IL"
"fish",0,37,"USA","CFSAN075797","PDT000289689.2","FL"
"dairy",1,35,"USA","CFSAN075785","PDT000289691.2","IL"
"dairy",0,34,"USA","CFSAN075795","PDT000289694.2","IL"
"avocado",0,12,"USA","FDA1017657-001-001","PDT000281504.2","CA"
"beef",11,11,"USA","IA-608893","PDT000283215.3","IA"
"dairy",2,36,"USA","CFSAN075780","PDT000288182.2","IL"
"dairy",2,36,"USA","CFSAN075783","PDT000288183.6","IL"
"dairy",0,34,"USA","CFSAN075781","PDT000288184.2","IL"
"fish",1,1,"USA","12B10440A-1","PDT000287816.2","NY"
"fish",4,7,"USA","13B02883A-1","PDT000287820.2","NY"
"fish",4,7,"USA","13B02662A-1","PDT000287821.2","NY"
"dairy",1,35,"USA","CFSAN075782","PDT000288150.2","IL"
"dairy",1,35,"USA","CFSAN075778","PDT000288151.2","PA"
"dairy",1,35,"USA","CFSAN075779","PDT000288152.2","IL"
"dairy",1,3,"USA","CFSAN034252","PDT000068603.2","TX"
"dairy",1,4,"USA","CFSAN034241","PDT000068605.2","TX"
"dairy",0,0,"USA","CFSAN034233","PDT000068614.2","TX"
"dairy",12,21,"USA","CFSAN034244","PDT000068628.2","TX"
"dairy",0,3,"USA","CFSAN034240","PDT000068636.2","TX"
"dairy",1,2,"USA","CFSAN034235","PDT000068639.2","TX"
"dairy",0,3,"USA","CFSAN034239","PDT000068640.2","TX"
"dairy",0,3,"USA","CFSAN034242","PDT000068641.2","TX"
"dairy",4,8,"USA","CFSAN034243","PDT000068642.2","TX"
"dairy",1,9,"USA","CFSAN034253","PDT000068643.2","TX"
"dairy",3,6,"USA","CFSAN034236","PDT000068652.2","TX"
"dairy",1,4,"USA","CFSAN034246","PDT000068653.2","TX"
"dairy",1,4,"USA","CFSAN034247","PDT000068654.2","TX"
"dairy",3,12,"USA","CFSAN034237","PDT000068660.2","TX"
"dairy",1,4,"USA","CFSAN034245","PDT000068663.2","TX"
"dairy",0,2,"USA","CFSAN034251","PDT000068667.2","TX"
"dairy",1,3,"USA","CFSAN034249","PDT000068670.2","TX"
"dairy",0,1,"USA","CFSAN034250","PDT000068671.2","TX"
"dairy",0,1,"USA","CFSAN034254","PDT000068672.2","TX"
"dairy",0,0,"USA","CFSAN034238","PDT000068677.2","TX"
"dairy",9,12,"USA","CFSAN034248","PDT000068679.2","TX"
"beans",0,0,"USA","VA-WGS-00439","PDT000068708.2","VA"
"beans",3,3,"USA","VA-WGS-00438","PDT000068716.2","VA"
"fish",4,32,"USA","AK1035500078","PDT000068720.3","AK"
"dairy",1,2,"USA","CFSAN034270","PDT000068727.2","TX"
"dairy",8,13,"USA","CFSAN034256","PDT000068732.2","TX"
"dairy",0,2,"USA","CFSAN034257","PDT000068733.2","TX"
"dairy",0,4,"USA","CFSAN034262","PDT000068734.2","TX"
"dairy",4,7,"USA","CFSAN034264","PDT000068740.2","TX"
"dairy",0,4,"USA","CFSAN034265","PDT000068741.2","TX"
"dairy",0,1,"USA","CFSAN034266","PDT000068742.2","TX"
"dairy",0,3,"USA","CFSAN034260","PDT000068747.2","TX"
"dairy",2,7,"USA","CFSAN034263","PDT000068756.2","TX"
"dairy",1,6,"USA","CFSAN034272","PDT000068757.2","TX"
"dairy",4,8,"USA","CFSAN034258","PDT000068761.2","TX"
"dairy",4,13,"USA","CFSAN034273","PDT000068764.2","TX"
"dairy",2,11,"USA","CFSAN034267","PDT000068769.2","TX"
"dairy",1,7,"USA","CFSAN034255","PDT000068770.2","TX"
"beans",0,0,"USA","VA-WGS-00437","PDT000065290.2","VA"
"dairy",0,7,"USA","CFSAN033568","PDT000066316.2","TX"
"dairy",0,0,"USA","CFSAN033572","PDT000066317.2","TX"
"dairy",0,0,"USA","CFSAN033580","PDT000066318.2","TX"
"dairy",0,1,"USA","CFSAN033571","PDT000066324.2","TX"
"dairy",1,9,"USA","CFSAN033574","PDT000066326.2","TX"
"beef",0,28,"USA","AK1216500192-2","PDT000066330.3","AK"
"dairy",0,1,"USA","CFSAN033587","PDT000066332.2","TX"
"dairy",0,2,"USA","CFSAN033581","PDT000066335.2","TX"
"dairy",0,4,"USA","CFSAN033570","PDT000066341.2","TX"
"dairy",0,1,"USA","CFSAN033579","PDT000066342.2","TX"
"dairy",0,3,"USA","CFSAN033565","PDT000066344.2","TX"
"dairy",0,4,"USA","CFSAN033578","PDT000066351.2","TX"
"dairy",0,2,"USA","CFSAN033563","PDT000066353.2","TX"
"dairy",0,3,"USA","CFSAN033586","PDT000066355.2","TX"
"dairy",0,8,"USA","CFSAN033584","PDT000066360.2","TX"
"dairy",2,3,"USA","CFSAN033567","PDT000066370.2","TX"
"dairy",0,4,"USA","CFSAN033569","PDT000066371.2","TX"
"dairy",1,4,"USA","CFSAN033562","PDT000066377.2","TX"
"dairy",0,1,"USA","CFSAN033585","PDT000066378.2","TX"
"dairy",2,5,"USA","CFSAN033583","PDT000066379.2","TX"
"dairy",0,7,"USA","CFSAN033575","PDT000066382.2","TX"
"dairy",1,9,"USA","CFSAN033582","PDT000066388.2","TX"
"dairy",2,5,"USA","CFSAN033564","PDT000066391.2","TX"
"dairy",0,3,"USA","CFSAN033566","PDT000066393.2","TX"
"dairy",0,3,"USA","CFSAN033573","PDT000066394.2","TX"
"dairy",1,9,"USA","CFSAN033576","PDT000066395.2","TX"
"dairy",0,1,"USA","CFSAN033577","PDT000066396.2","TX"
"dairy",7,7,"USA","WAPHL-LIS-A00038","PDT000065156.2","WA"
"dairy",0,3,"USA","CFSAN034261","PDT000068748.2","TX"
"dairy",0,3,"USA","CFSAN034269","PDT000068749.2","TX"
"dairy",1,8,"USA","CFSAN034271","PDT000068750.2","TX"
"dairy",12,12,"USA","CFSAN034259","PDT000068762.2","TX"
"dairy",0,3,"USA","CFSAN034268","PDT000068763.2","TX"
"fish",14,15,"USA","FDA226282","PDT000137012.2","OR"
"water",7,30,"USA","FDA226283-1","PDT000137013.2","OR"
"water",6,14,"USA","FDA226283-6","PDT000137014.2","OR"
"water",13,38,"USA","FDA226283-9","PDT000137024.2","OR"
"water",10,30,"USA","FDA226283-14","PDT000137026.2","OR"
"fish",0,9,"USA","C2008001652","PDT000137417.2","MN"
"pork",19,20,"USA","C2009033265","PDT000137418.2","MN"
"chicken",8,9,"USA","C2005002770","PDT000137462.2","MN"
"pork",0,1,"USA","C2005003367","PDT000137463.2","MN"
"beef",18,19,"USA","C2005003464","PDT000137464.2","MN"
"beef",1,5,"USA","C2004003565","PDT000133698.2","MN"
"fish",0,26,"USA","14B10302-3","PDT000133778.2","NY"
"chicken",13,27,"USA","16B05567-1","PDT000133801.2","NY"
"beans",1,26,"USA","FDA407167 2-2","PDT000135625.2","MN"
"fish",5,20,"USA","FLAG-49603","PDT000134033.2","FL"
"pork",0,19,"USA","FLAG-60643","PDT000134292.2","FL"
"dairy",7,8,"USA","FLAG-61488","PDT000134294.2","FL"
"fish",6,9,"USA","FLAG-50819A","PDT000134299.2","FL"
"pork",3,31,"USA","TX-ACF1302087","PDT000137970.2","TX"
"chicken",3,33,"USA","CFSAN060785","PDT000191380.2","TX"
"beef",1,27,"USA","CFSAN061629","PDT000192929.2","CA"
"beef",12,1,"USA","CFSAN061622","PDT000192936.2","CA"
"beef",3,24,"USA","CFSAN061619","PDT000192945.2","CA"
"dairy",0,0,"USA","17B02320-9","PDT000193035.2","NY"
"dairy",0,0,"USA","17B02319-4","PDT000193036.2","NY"
"dairy",1,1,"USA","17B02318-4","PDT000193038.2","NY"
"fish",13,13,"USA","11B07409A-1","PDT000193040.2","NY"
"fish",4,10,"USA","09B09050A-1","PDT000193044.2","NY"
"avocado",1,13,"USA","FDA802499 S7-1","PDT000193555.2","CA"
"chicken",9,30,"USA","OH-16-8884-2","PDT000183411.3","OH"
"avocado",0,0,"USA","FDA849740 C4","PDT000184394.2","IL"
"avocado",1,13,"USA","FDA869095 C4","PDT000187403.2","MA"
"avocado",1,14,"USA","FDA869095 S20","PDT000187404.2","MA"
"avocado",0,42,"USA","FDA773872 S16","PDT000187411.2","CO"
"avocado",1,1,"USA","FDA773872 S13","PDT000187413.2","CO"
"avocado",0,0,"USA","FDA773872 S15","PDT000187415.2","CO"
"avocado",0,0,"USA","FDA773872 S11","PDT000187417.2","CO"
"avocado",0,42,"USA","FDA773872 S17","PDT000187418.2","CO"
"avocado",0,0,"USA","FDA773872 S14","PDT000187420.2","CO"
"beans",28,33,"USA","12B08062-6","PDT000191526.2","NY"
"fish",10,14,"USA","11B09035A-1","PDT000191528.2","NY"
"dairy",2,2,"USA","FDA944225-C001-001","PDT000192870.6","NY"
"dairy",0,0,"USA","FDA944225-C001-002","PDT000192871.6","NY"
"avocado",4,16,"USA","FDA1023308-C001-001","PDT000266900.6","CA"
"pork",20,21,"USA","FLAG-33428","PDT000266944.2","FL"
"beans",0,2,"USA","10B06691A-1","PDT000267320.3","NY"
"beans",3,2,"USA","10B06453A-6","PDT000267322.3","NY"
"pork",2,3,"USA","17B11503-4","PDT000267323.3","NY"
"dairy",2,2,"USA","17B11386-8","PDT000267329.3","NY"
"pork",1,21,"USA","FLAG-7495","PDT000268711.2","FL"
"beef",0,8,"USA","FLAG-3375","PDT000268728.2","FL"
"dairy",18,12,"USA","FLAG-3234","PDT000268742.2","FL"
"beef",0,8,"USA","FLAG-3235","PDT000268745.2","FL"
"beef",0,8,"USA","FLAG-3236","PDT000268757.2","FL"
"beef",0,8,"USA","FLAG-3238","PDT000268760.2","FL"
"beef",0,8,"USA","FLAG-3237","PDT000268803.2","FL"
"beef",0,8,"USA","FLAG-3373","PDT000268842.2","FL"
"dairy",0,0,"USA","VA-WGS-17097","PDT000269028.2","SC"
"dairy",0,0,"USA","VA-WGS-17096","PDT000269030.2","SC"
"dairy",2,2,"USA","VA-WGS-17095","PDT000269032.2","SC"
"dairy",3,3,"USA","VA-WGS-17094","PDT000269033.2","SC"
"dairy",28,26,"USA","FDA226168","PDT000270694.2","CA"
"avocado",0,12,"USA","FDA1026971-C001-001","PDT000262132.2","CA"
"avocado",0,12,"USA","FDA1026971-C002-001","PDT000262133.2","CA"
"dairy",25,4,"USA","FDA217461-1A","PDT000263941.2","TX"
"dairy",17,23,"USA","FDA256306","PDT000263947.2","USA"
"beef",26,27,"USA","FDA211358-1","PDT000263949.2","TX"
"dairy",0,31,"USA","CFSAN071355","PDT000264808.2","NY"
"dairy",3,34,"USA","CFSAN071354","PDT000264812.2","NY"
"dairy",1,30,"USA","CFSAN071353","PDT000264820.2","NY"
"fish",0,26,"USA","FDA676032 C1-2","PDT000265941.2","CA"
"fish",4,3,"USA","FDA1024304-C002-01","PDT000273326.2","MA"
"beef",0,8,"USA","FLAG-3439","PDT000259309.2","FL"
"beef",6,14,"USA","FLAG-3376","PDT000259344.2","FL"
"beef",3,10,"USA","FLAG-5945","PDT000259351.2","FL"
"pork",1,22,"USA","FLAG-8152","PDT000259458.2","FL"
"dairy",0,31,"USA","17B10819-2","PDT000259515.2","NY"
"fish",0,26,"USA","FDA676032 C1-1","PDT000265949.2","CA"
"pork",11,19,"USA","CFSAN072256","PDT000272398.2","WI"
"pork",1,11,"USA","CFSAN072258","PDT000272408.2","WI"
"pork",2,12,"USA","CFSAN072257","PDT000272414.2","WI"
"chicken",1,22,"USA","FLAG-34780","PDT000274801.2","FL"
"avocado",0,4,"USA","FDA861279-13","PDT000036233.5","TX"
"avocado",0,14,"USA","FDA802499 C1-1","PDT000036234.2","CA"
"avocado",8,16,"USA","FDA802499 S3-1","PDT000036237.2","CA"
"avocado",0,10,"USA","FDA831281-12","PDT000036240.2","VA"
"avocado",0,26,"USA","FDA841045 S-RS6","PDT000036242.2","AZ"
"dairy",0,13,"USA","VA-WGS-00315","PDT000036293.2","NC"
"beef",1,9,"USA","CFSAN018409","PDT000036532.2","WI"
"pork",2,18,"USA","CFSAN018406","PDT000036644.2","WI"
"chicken",3,2,"USA","WAPHL-LIS-A00004","PDT000036838.2","HI"
"water",0,40,"USA","VA-WGS-00300","PDT000037367.2","NC"
"dairy",3,4,"USA","VA-WGS-00329","PDT000037369.2","VA"
"dairy",1,26,"USA","MOD1_LS307","PDT000038320.2","USA"
"pork",9,13,"USA","CFSAN023700","PDT000038585.2","AZ"
"pork",4,27,"USA","CFSAN023703","PDT000038589.2","TX"
"pork",29,30,"USA","CFSAN023705","PDT000038591.2","MS"
"pork",0,32,"USA","CFSAN007114","PDT000037139.3","MN"
"dairy",1,8,"USA","CFSAN011042","PDT000037158.3","WA"
"dairy",2,10,"USA","CFSAN011043","PDT000037159.3","WA"
"pork",8,7,"USA","CFSAN022995","PDT000036983.2","LA"
"fish",0,18,"USA","CFSAN033417","PDT000094363.2","NJ"
"fish",7,19,"USA","CFSAN033418","PDT000094364.2","NJ"
"dairy",0,0,"USA","CFSAN028804","PDT000094758.2","MD"
"dairy",0,0,"USA","CFSAN028792","PDT000094794.2","MD"
"dairy",0,43,"USA","CFSAN028800","PDT000094802.2","MD"
"dairy",1,6,"USA","CFSAN041543","PDT000095109.2","WA"
"dairy",2,7,"USA","CFSAN041547","PDT000095112.2","WA"
"dairy",0,5,"USA","CFSAN041549","PDT000095113.2","WA"
"dairy",1,1,"USA","CFSAN041551","PDT000095115.2","WA"
"dairy",1,6,"USA","CFSAN041552","PDT000095116.2","WA"
"dairy",3,4,"USA","CFSAN041553","PDT000095117.2","WA"
"dairy",0,5,"USA","CFSAN041556","PDT000095120.2","WA"
"dairy",1,6,"USA","CFSAN041557","PDT000095121.2","WA"
"dairy",2,2,"USA","CFSAN041558","PDT000095122.2","WA"
"dairy",5,6,"USA","CFSAN041559","PDT000095123.2","WA"
"dairy",1,4,"USA","CFSAN041560","PDT000095124.2","WA"
"fish",2,8,"USA","FLAG-01273","PDT000092945.8","FL"
"fish",0,6,"USA","FLAG-01659A","PDT000093120.2","FL"
"chicken",0,3,"USA","CFSAN028892","PDT000095231.2","MD"
"chicken",0,3,"USA","CFSAN028893","PDT000095232.2","MD"
"dairy",4,3,"USA","FLAG-14068","PDT000095346.2","FL"
"fish",4,4,"USA","FLAG-86582","PDT000095347.2","FL"
"fish",1,1,"USA","FLAG-86583","PDT000095348.2","FL"
"pork",0,26,"USA","FLAG-84731","PDT000095359.2","FL"
"dairy",1,1,"USA","FDA762256 2-1","PDT000092390.2","WI"
"fish",0,6,"USA","FLAG-01274","PDT000092935.2","FL"
"fish",2,8,"USA","FLAG-01272","PDT000092938.8","FL"
"dairy",14,18,"USA","AK1118900134","PDT000094235.2","AK"
"beef",0,28,"USA","AK1216500192-4","PDT000094236.2","AK"
"beef",0,28,"USA","AK1216500192-5","PDT000094237.2","AK"
"chicken",2,36,"USA","CFSAN033419","PDT000094305.2","CA"
"fish",0,18,"USA","CFSAN033421","PDT000094307.2","NJ"
"dairy",0,14,"USA","AK1118900131","PDT000094232.2","AK"
"dairy",0,14,"USA","AK1118900132","PDT000094233.2","AK"
"dairy",0,14,"USA","AK1118900133","PDT000094234.2","AK"
"dairy",0,11,"USA","CFSAN048640","PDT000125769.2","WA"
"dairy",1,12,"USA","CFSAN048641","PDT000125770.2","WA"
"dairy",0,11,"USA","CFSAN048642","PDT000125771.2","WA"
"dairy",0,11,"USA","CFSAN048643","PDT000125772.2","WA"
"dairy",0,11,"USA","CFSAN048644","PDT000125773.2","WA"
"beans",4,4,"USA","CFSAN048715","PDT000125789.2","WA"
"beans",0,1,"USA","CFSAN048716","PDT000125790.2","WA"
"beans",1,0,"USA","CFSAN048717","PDT000125791.2","WA"
"beans",1,5,"USA","CFSAN048718","PDT000125792.2","WA"
"dairy",29,25,"USA","ARS-CC9283","PDT000125073.2","OH"
"fish",8,36,"USA","AK1512500162","PDT000125345.2","AK"
"dairy",0,5,"USA","CFSAN046244","PDT000125703.2","WA"
"dairy",0,5,"USA","CFSAN046245","PDT000125704.2","WA"
"dairy",0,5,"USA","CFSAN046246","PDT000125705.2","WA"
"dairy",0,5,"USA","CFSAN046247","PDT000125706.2","WA"
"dairy",0,5,"USA","CFSAN046248","PDT000125707.2","WA"
"dairy",0,5,"USA","CFSAN046249","PDT000125708.2","WA"
"dairy",0,32,"USA","FLAG-21973-2A","PDT000172269.2","FL"
"dairy",0,32,"USA","FLAG-21973-2B","PDT000172271.2","FL"
"avocado",1,33,"USA","FDA866014 S15","PDT000178535.2","MA"
"avocado",1,34,"USA","FDA866014 C3","PDT000178537.2","MA"
"avocado",0,0,"USA","FDA773872 C3","PDT000178539.2","CO"
"avocado",0,40,"USA","FDA871250 C19","PDT000178568.2","CA"
"avocado",1,36,"USA","FDA869098 C3","PDT000178569.2","MA"
"avocado",1,37,"USA","FDA869098 S11","PDT000178571.2","MA"
"avocado",13,31,"USA","FDA866014 S17","PDT000178572.2","MA"
"avocado",0,19,"USA","FDA866014 S20","PDT000178573.2","MA"
"avocado",0,19,"USA","FDA866014 C4","PDT000178574.2","MA"
"dairy",3,23,"USA","FDA336834 2A","PDT000178927.3","TX"
"dairy",3,20,"USA","FDA336834 1A","PDT000178928.3","TX"
"beef",1,1,"USA","FDA300798-12","PDT000178933.2","TX"
"beef",1,1,"USA","FDA314898","PDT000178937.2","TX"
"dairy",2,5,"USA","FDA0984141-506-001","PDT000178940.2","CO"
"avocado",1,25,"USA","FDA854691 C4","PDT000181423.2","CA"
"avocado",1,26,"USA","FDA854691 S16","PDT000181424.2","CA"
"avocado",14,11,"USA","FDA869296 S45","PDT000181425.2","CA"
"avocado",0,0,"USA","FDA849740 S20","PDT000181427.2","IL"
"dairy",0,0,"USA","C2013013299","PDT000163763.2","MN"
"dairy",3,3,"USA","C2013012826","PDT000163765.2","MN"
"dairy",3,30,"USA","FDA851661","PDT000167523.2","TX"
"dairy",0,31,"USA","FDA851660","PDT000167524.2","TX"
"dairy",0,31,"USA","FDA851662","PDT000167525.2","TX"
"dairy",0,31,"USA","FDA851663","PDT000167527.2","TX"
"dairy",0,31,"USA","FDA851664","PDT000167529.2","TX"
"fish",13,30,"USA","13B07019-13","PDT000175493.2","NY"
"fish",13,22,"USA","13B07017-1","PDT000175495.2","NY"
"fish",5,28,"USA","13B07018-6","PDT000175496.2","NY"
"fish",1,23,"USA","13B07016-1","PDT000175497.2","NY"
"fish",13,25,"USA","13B06562-1","PDT000175498.2","NY"
"fish",5,25,"USA","13B07020-1","PDT000175502.2","NY"
"fish",6,5,"USA","13B03210-1","PDT000175513.2","NY"
"dairy",1,16,"USA","KS-15037-8","PDT000176454.1","KS"
"fish",3,8,"USA","WAPHL-LIS-A00045","PDT000161087.2","USA"
"chicken",1,10,"USA","CDPHFDLB-F09M01164","PDT000249660.1","CA"
"chicken",1,9,"USA","CDPHFDLB-F09M01162","PDT000249662.1","CA"
"pork",1,3,"USA","FDA1015799-C001-001","PDT000250490.2","RI"
"pork",30,29,"USA","FLAG-31615","PDT000252886.2","FL"
"pork",2,12,"USA","FLAG-15077","PDT000252907.2","FL"
"chicken",0,45,"USA","FLAG-9480","PDT000252914.2","FL"
"pork",0,10,"USA","FLAG-15078","PDT000252921.2","FL"
"dairy",0,45,"USA","FLAG-9481","PDT000252924.2","FL"
"chicken",2,3,"USA","FDA1016296-S001-001","PDT000257199.2","CO"
"chicken",2,5,"USA","FDA1016296-S001-002","PDT000257207.2","CO"
"fish",29,30,"USA","FLAG-13302","PDT000257691.2","FL"
"beans",5,29,"USA","FLAG-14807","PDT000257694.2","FL"
"pork",0,10,"USA","FLAG-15079","PDT000252868.2","FL"
"pork",0,10,"USA","FLAG-15080","PDT000252873.2","FL"
"pork",4,0,"USA","FLAG-30990","PDT000252875.2","FL"
"pork",36,42,"USA","FLAG-31432","PDT000252882.2","FL"
"beans",0,5,"USA","FDA0317855-C001-001","PDT000372602.1","CA"
"beans",0,5,"USA","FDA0317853-S002-001","PDT000372770.1","CA"
"dairy",0,33,"USA","18DMFO000059-2","PDT000373220.2","MI"
"dairy",0,33,"USA","18DMFO000060-2","PDT000373224.2","MI"
"dairy",0,0,"USA","CFSAN028803","PDT000388396.1","MD"
"dairy",0,43,"USA","CFSAN028799","PDT000388398.1","MD"
"chicken",2,29,"USA","CFSAN013584","PDT000388420.1","IA"
"pork",25,27,"USA","NRRL B-33980","PDT000388425.1","PR"
"pork",2,3,"USA","NRRL B-33880","PDT000388429.1","TX"
"pork",18,24,"USA","NRRL B-33441","PDT000388432.1","IN"
"chicken",3,23,"USA","NRRL B-33339","PDT000388435.1","CA"
"dairy",0,0,"USA","CFSAN028791","PDT000388443.1","MD"
"chicken",16,30,"USA","CFSAN013596","PDT000388451.1","MS"
"dairy",3,6,"USA","NRRL B-57451","PDT000388459.1","CA"
"pork",26,31,"USA","NRRL B-33353","PDT000388461.1","NJ"
"pork",2,8,"USA","NRRL B-33345","PDT000388462.1","NC"
"chicken",15,22,"USA","NRRL B-33276","PDT000388463.1","IA"
"water",5,5,"USA","FDA507437-7","PDT000389615.1","CT"
"water",7,7,"USA","FDA507437-3","PDT000389621.1","CT"
"water",5,4,"USA","FDA507437-1","PDT000389622.1","CT"
"water",5,5,"USA","FDA507437-4","PDT000389626.1","CT"
"beef",8,36,"USA","05B10452C-1","PDT000413667.1","NY"
"beef",4,4,"USA","CFSAN088705","PDT000413747.1","NY"
"water",8,28,"USA","18B05744-10-R103363","PDT000414112.1","NY"
"fish",21,7,"USA","FDA803495","PDT000418647.1","WA"
"fish",2,3,"USA","FDA405282","PDT000410187.1","NY"
"fish",3,4,"USA","FDA404921","PDT000410213.1","NY"
"fish",8,14,"USA","FDA268424-1","PDT000410271.1","NY"
"beef",0,27,"USA","06B01131I-1","PDT000429546.1","NY"
"beef",1,7,"USA","06B02873E-1","PDT000430613.1","NY"
"beef",4,41,"USA","06B02372E-1","PDT000430615.1","NY"
"beef",2,18,"USA","06B01958E-1","PDT000430624.1","NY"
"beef",0,21,"USA","06B01495F-1","PDT000430631.1","NY"
"beef",15,32,"USA","06B03299F-1","PDT000430694.1","NY"
"beef",7,25,"USA","06B03229D-1","PDT000430719.1","NY"
"beef",6,19,"USA","06B03962E-1","PDT000431691.1","NY"
"fish",1,42,"USA","06B05245A-1","PDT000432467.1","NY"
"beef",11,15,"USA","06B05086E-1","PDT000432481.1","NY"
"chicken",4,4,"USA","FDA1038652-C002-006","PDT000573638.1","TX"
"chicken",3,12,"USA","FDA1038652-C001-006","PDT000573641.1","TX"
"beef",3,8,"USA","07B03512F-1","PDT000574120.1","NY"
"beef",9,15,"USA","07B02257G-1","PDT000574124.1","NY"
"beans",1,1,"USA","FDA835098 1-1","PDT000577520.2","IL"
"dairy",9,26,"USA","FLAG-58759","PDT000652011.1","FL"
"dairy",28,29,"USA","06B06614G-6","PDT000454748.1","NY"
"dairy",25,23,"USA","06B06114J-6","PDT000454749.1","NY"
"beef",12,13,"USA","06B06614E-6","PDT000454751.1","NY"
"beef",8,10,"USA","06B05094E-1","PDT000455183.1","NY"
"dairy",27,26,"USA","CFSAN090684","PDT000455228.1","CT"
"beef",8,22,"USA","06B06826E-1","PDT000463948.1","NY"
"dairy",3,33,"USA","19B00780-9","PDT000463971.1","NY"
"dairy",3,34,"USA","19B00780-1","PDT000463982.1","NY"
"dairy",0,10,"USA","MOD1-LS1140","PDT000496708.1","TX"
"dairy",1,3,"USA","MOD1-LS1146","PDT000496738.1","TX"
"dairy",0,2,"USA","MOD1-LS1149","PDT000497435.1","TX"
"dairy",0,1,"USA","MOD1-LS1123","PDT000497436.1","TX"
"dairy",5,7,"USA","MOD1-LS1176","PDT000497437.1","TX"
